Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,40.180000,47.419998,37.000000,40.000000,40.000000,24555600
2020-03-20,41.849998,43.840000,37.799999,38.090000,38.090000,26896800
2020-03-23,38.470001,40.549999,36.110001,40.009998,40.009998,21783400
2020-03-24,43.500000,48.880001,42.560001,46.310001,46.310001,26174700
2020-03-25,50.290001,58.099998,49.529999,52.389999,52.389999,34929300
2020-03-26,53.790001,59.250000,53.779999,56.029999,56.029999,23610400
2020-03-27,54.000000,54.417000,51.480000,53.340000,53.340000,14655600
2020-03-30,52.900002,55.439999,51.529999,55.000000,55.000000,12054300
2020-03-31,54.689999,55.240002,51.134998,52.380001,52.380001,18349400
2020-04-01,49.779999,50.009998,46.049999,46.810001,46.810001,16596400
2020-04-02,46.330002,48.029999,45.000000,45.880001,45.880001,12871500
2020-04-03,46.020000,46.680000,42.330002,43.720001,43.720001,18748600
2020-04-06,47.220001,51.099998,46.189999,50.419998,50.419998,25521700
2020-04-07,54.779999,54.910000,49.700001,50.310001,50.310001,17105000
2020-04-08,51.810001,57.750000,51.810001,57.040001,57.040001,24785100
2020-04-09,58.880001,64.940002,58.500000,59.209999,59.209999,30870900
2020-04-13,60.099998,60.099998,56.119999,59.419998,59.419998,15199500
2020-04-14,60.020000,62.610001,59.615002,62.410000,62.410000,17905500
2020-04-15,59.669998,61.759998,59.330002,61.380001,61.380001,12468800
2020-04-16,58.099998,59.299999,56.630001,57.320000,57.320000,19879200
2020-04-17,59.500000,61.439999,58.700001,61.090000,61.090000,14044800
2020-04-20,59.439999,63.590000,59.150002,61.060001,61.060001,14342400
2020-04-21,60.000000,60.439999,56.860001,57.400002,57.400002,15333900
2020-04-22,59.349998,61.250000,58.009998,60.959999,60.959999,13444900
2020-04-23,61.310001,63.500000,60.921001,61.820000,61.820000,13098800
2020-04-24,62.230000,62.560001,61.040001,62.009998,62.009998,9625000
2020-04-27,63.610001,64.239998,61.810001,63.549999,63.549999,10241700
2020-04-28,64.169998,65.025002,60.900002,61.750000,61.750000,11852100
2020-04-29,63.439999,66.720001,63.389999,65.769997,65.769997,14387300
2020-04-30,65.000000,66.889999,64.720001,65.139999,65.139999,10525900
2020-05-01,62.840000,63.910000,61.439999,63.000000,63.000000,10042400
2020-05-04,61.340000,64.169998,61.090000,63.689999,63.689999,7556900
2020-05-05,66.000000,68.589996,65.209999,66.690002,66.690002,12011500
2020-05-06,67.320000,69.809998,67.120003,68.099998,68.099998,16202900
2020-05-07,69.860001,76.800003,69.580002,74.620003,74.620003,31027000
2020-05-08,72.040001,76.400002,72.000000,76.050003,76.050003,20030600
2020-05-11,75.699997,75.903000,74.360001,74.900002,74.900002,12720600
2020-05-12,76.000000,77.389999,74.309998,75.209999,75.209999,17015500
2020-05-13,75.320000,75.800003,70.820000,73.790001,73.790001,13970100
2020-05-14,72.169998,78.250000,71.070000,78.199997,78.199997,16038900
2020-05-15,77.750000,81.129997,76.650002,80.260002,80.260002,16312000
2020-05-18,78.699997,81.349998,76.440002,76.629997,76.629997,16215500
2020-05-19,76.449997,82.139999,76.250000,79.250000,79.250000,14225500
2020-05-20,81.500000,83.099998,80.519997,82.040001,82.040001,10152200
2020-05-21,79.500000,81.699997,78.760002,81.489998,81.489998,10082100
2020-05-22,81.230003,82.489998,80.830002,81.489998,81.489998,6262000
2020-05-26,83.980003,84.089996,80.500000,80.790001,80.790001,9682800
